-512.46,25.383,-288.31,-71.76
-499.9,17.625,-265.31,-58.76
-477.64,5.0726,-242.31,-45.76
-453.88,-10.078,-220.31,-32.76
-427.89,-25.095,-199.31,-20.76
-427.39,-25.961,-177.31,-7.7604
-427.39,-25.961,-156.31,4.2396
-408.36,-36.915,-134.31,17.24
-388.34,-49.602,-113.31,29.24
-366.94,-62.654,-91.313,41.24
-345.55,-75.707,-70.313,53.24
-323.29,-88.259,-50.313,65.24
-289.84,-108.2,-29.313,77.24
-243.46,-134.54,-8.3125,89.24
-196.57,-161.74,11.688,101.24
-151.19,-186.35,31.688,113.24
-106.31,-210.09,51.688,125.24
-66.523,-231,71.688,137.24
-47.131,-240.59,90.688,149.24
-47.131,-240.59,109.69,161.24
-47.131,-240.59,128.69,173.24
-30.971,-248.58,146.69,185.24
-10.712,-257.67,164.69,197.24
8.68,-267.25,182.69,209.24
26.572,-274.24,198.69,221.24
42.965,-278.64,214.69,233.24
49.295,-279.6,226.69,246.24
60.687,-275.33,227.69,260.24
58.847,-252.15,195.69,261.24
48.981,-237.06,166.69,253.24
27.419,-213.71,142.69,241.24
-12.535,-182.51,124.69,228.24
-59.516,-161.13,111.69,213.24
-102.6,-152.52,100.69,197.24
-139.67,-154.3,92.688,182.24
-171.89,-162.5,85.688,166.24
-200.23,-175.4,80.688,151.24
-223.48,-191.14,76.688,135.24
-244.86,-208.1,73.688,119.24
-264.88,-225.43,70.688,104.24
-285.76,-243.26,69.688,88.24
-292.19,-248.13,68.688,73.24
-292.19,-248.13,67.688,57.24
-292.19,-248.13,68.688,42.24
-300.22,-256.23,69.688,26.24
-309.61,-263.96,70.688,11.24
-319.5,-270.82,72.688,-4.7604
-319.5,-270.82,74.688,-19.76
-319.5,-270.82,76.688,-34.76
-322.47,-273.69,78.688,-49.76
-332.73,-281.92,80.688,-64.76
-343.48,-289.29,82.688,-79.76
-346.95,-291.29,84.688,-95.76
-346.95,-291.29,85.688,-110.76
-351.64,-295.15,87.688,-124.76
-365.87,-304.52,88.688,-139.76
-380.59,-313.02,88.688,-154.76
-396.18,-322.02,88.688,-169.76
-424.52,-334.92,85.688,-184.76
-445.94,-343.82,80.688,-199.76
-446.81,-344.32,70.688,-213.76
-462.3,-347.49,56.688,-227.76
-485.25,-345.74,36.688,-239.76
-511.38,-328.49,12.688,-250.76
-539.81,-295.25,-14.313,-258.76
-559.71,-254.78,-44.313,-263.76
-564.78,-229.99,-76.313,-264.76
-564.78,-229.99,-107.31,-260.76
-564.25,-208.9,-134.31,-251.76
-552.24,-177.72,-157.31,-239.76
-530.26,-155.79,-174.31,-225.76
-514.17,-147.65,-188.31,-211.76
-497.08,-141.25,-198.31,-196.76
-478.49,-137.45,-204.31,-180.76
-459.27,-136.74,-207.31,-165.76
-437.68,-138.14,-207.31,-149.76
-426.39,-139.7,-204.31,-134.76
-426.39,-139.7,-198.31,-118.76
-424.15,-139.56,-189.31,-103.76
-405.53,-143.82,-178.31,-88.76
-385.91,-149.81,-165.31,-74.76
-366.78,-154.94,-151.31,-60.76
-348.89,-161.93,-135.31,-46.76
-330.5,-169.78,-118.31,-33.76
-327.26,-171.38,-100.31,-20.76
-327.26,-171.38,-81.313,-7.7604
-327.26,-171.38,-61.313,4.2396
-311.6,-178.51,-41.313,16.24
-294.94,-187.36,-20.313,27.24
-281.02,-195.49,1.6875,38.24
-281.02,-195.49,22.688,49.24
-281.02,-195.49,44.688,59.24
-270.32,-202.01,67.688,69.24
-249.79,-215.57,89.688,78.24
-212.2,-244.67,112.69,87.24
-173.31,-288.03,137.69,93.24
